review_time,positive_review,negative_review,problems_solved,rating
"Mar 14, 2022","The best thing is that we can search the candidates here within a specific region only based upon the job description. Also, the platform is very user-friendly and easy to use. It also provides the service of keeping your posting jobs at the top using the ads. The database for technical profiles is mind-blowing.Review collected by and hosted on G2.com.","There is some kind of bug or issue that is shown whenever we search for any candidate for any specific job profile. It shows the same resume with the same mail address and different candidate profiles. The technical team must take this into consent and solve this issue. Apart from that, I hadn't faced any issues to date.Review collected by and hosted on G2.com.","It is one of the beats platforms for all the technical recruiters. it is their first choice if we are hiring for the technical profiles in the IT field. It gives the most outstanding profile for IT jobs. The database is fantastic. The UI needs some improvement but it works well. Overall, the experience is quite good and impressive.Review collected by and hosted on G2.com.",4
"Mar 01, 2022",Quality of the resumes and the search engine. It is one of the few portals that provide us the filter of filtering the candidates on basis of different types of clearances. All the way from the secret to TS/SCI FS poly.Review collected by and hosted on G2.com.,Not giving timely API integrations to different ATS. We find it quite difficult to get new api's integrated with our current ATS Ceipal. We raised this concern time and time again.Review collected by and hosted on G2.com.,Finding candidates in cleared as well as non cleared space. This does benefit a lot in that space and gives good and effective results. The boolean strings give very accurate results.Review collected by and hosted on G2.com.,4.5
"Nov 09, 2022",It is beneficial for those proper searching jobReview collected by and hosted on G2.com.,"There  is no point in disliking, and i am happy with the serviceReview collected by and hosted on G2.com.",An international platform to find a professional jobReview collected by and hosted on G2.com.,5
"Mar 02, 2022","It is effortless to use and friendly software. The UI and UX are mind-blowing. The best thing here is that it removes out the candidates automatically who do not fit with the required position. Also, the boolean search algorithm is s effective because it gives very relevant results. It allows us to view the profiles of the candidates, which provide more information than the resume, and we can track the activities of the candidates from our dashboard. Overall, it is very productive and flexible. The dashboard is beautiful and keeps connected with its fantastic features.Review collected by and hosted on G2.com.","There must be some feature to adjust or customize the job postings and activities. Apart from that, I need some scheduling features for job postings for future dates and times. So that we can arrange them in a single day and focus on other works instead of posting jobs daily over the portal.Review collected by and hosted on G2.com.","As a recruiter, it is my primary job to connect with candidates and hire them for various profiles that I come across every day. Monster has helped me source and onboard the right candidate for the right shape. Here we can use the talent to meet up the right opportunity. It is very beneficial fr the technical profiels. I am happy about the experience I have had in the last some years with Monster.Review collected by and hosted on G2.com.",4.5
"Aug 19, 2022","Job search, filters, relevancy, job titlesReview collected by and hosted on G2.com.",Lots and lots of fake profiles remove themReview collected by and hosted on G2.com.,Bringing easy to use UI and integration of new features.Review collected by and hosted on G2.com.,5
"Feb 15, 2022",Using monster reduce our working time and energy.,We will get lof of job applications for a single job post. It made my work easy and it's very less cost.,We can filter while sourcing in the search engine.. So them we can get best suitable candidatesReview collected by and hosted on G2.com.,4
"Feb 06, 2022","Here we can track the status of the candidates in real-time. It has a user-friendly interface. It provides many filters to source the profiles as per the job requirement. We can fill a detailed description like skills, work experience, education, location, etc. It accepts the abstracts in the boolean strings and keys. It has many good options like Power search, which finds resumes with extensive filters and strings.Review collected by and hosted on G2.com.","Whenever we log in from more than one system, it creates issues and problems during sourcing the candidates. It does not give the exact results according to the search. Also, the resume views are limited, and it asks for credits for more resume views. Also, there must be some feature to fetch the data directly from the candidates they provided over the portal and fill it up in their resumes.Review collected by and hosted on G2.com.","It is a potent tool when we look to hire for technical roles. Monster is our primary portal to post jobs, source candidates, and search resumes. It gives us a good talent pool for closing most of our technical job openings. The database is mind-blowing and is updated every next day with good results. It has given us an extreme experience of working over it. Overall, it is a fantastic tool for recruiters and job seekers.Review collected by and hosted on G2.com.",4.5
"Nov 18, 2022",I like the recommendations for jobs in specific job  categoriesReview collected by and hosted on G2.com.,I hate scammer company that take advantage to newbieReview collected by and hosted on G2.com.,I think the problem is not being safe at sometimes to this platform yet It's very much useful in search jobs. I never being hired using this platformReview collected by and hosted on G2.com.,2.5
"Jan 11, 2022",Monster has been proven really successful in filling the low-end or junior hiring positions. It has a good number of freshers and recent grads. Monster has many filters which help the platform to outstand in the market. It gives the liberty to the employer to apply as a strict search string as he wants and gets the best candidates according to the position needs.Review collected by and hosted on G2.com.,"The relevance level of the resume is not up to the mark. Sometimes, it picks up some keywords and searches the profiles according to that. Moreover, it rates the resume showing according to relevance to the search string added, which hardly makes any sense. I have seen various instances saying it is 83% match, whereas the profile was not even of the same background I was looking for. It also has the option of power search which picks the keywords and gets the best results.Review collected by and hosted on G2.com.","Job posting and auto-forwarding are some of the main game changers of Monster. I and my team has been using it extensively for bulk-hiring roles. Monster Postings save a lot of time and help in getting the best suitable candidates from the market. It also has the features of setting the level of experience which helps a lot in targeting the right audience. The dashboard needs to be made much simpler as other competitive platforms are providing. The power search option is there, but it has to be open differently which is time-consuming.Review collected by and hosted on G2.com.",3.5
"Mar 04, 2022","It has a user-friendly interface and is easy to use. It provides various filters to source the right resumes. We can source candidates based on skills, qualifications, and location. The job posting is very efficient and has various filter questions to make sure only relevant candidates apply to the job posting.Review collected by and hosted on G2.com.",There are a lot of resumes with the same email address. It has a wide database for technical or software candidates than non-technical candidates. It is an expensive but effective tool.Review collected by and hosted on G2.com.,It has a very logical layout of the website. It allows me to view candidate profiles so I can manage the views of ROI. It is quite fast and provides flexible services for various needs.Review collected by and hosted on G2.com.,4.5
"Feb 11, 2022","Monster has two types of searches Classic Search and Power Search; classic search can be done by giving Boolean String, whereas power search can get candidates simple by providing the Title and required skills.Review collected by and hosted on G2.com.","Nothing much to dislike about the monster; this platform is good for freshers who are coming with Zero knowledge also can source profiles quickly. With monster, we can filter the Companies' names, mullite Locations, and working experience.Review collected by and hosted on G2.com.","Customer support is available 24*7; the response is also rapid. The user interface is getting better day by day with monster version updates; with monster usage, we will have some perfect matching profiles and the best filter. No other job boards have these filters.Review collected by and hosted on G2.com.",5
"Mar 18, 2022",The best thing about Monster is the Power Search feature of Mosnter where you can search relevant resumes using just the job title and likely to switch optionReview collected by and hosted on G2.com.,Sometimes it shows irrelevant candidate which wastes a click of the userReview collected by and hosted on G2.com.,Posting of Job descriptionReview collected by and hosted on G2.com.,4
"Dec 08, 2021","I love that you can view entire resumes instead of just profiles, I do also like that you can create a pipeline and an email campaign, also integrated it with our ATS so it creates profiles and inputs resumes without having to save and do it manually.Review collected by and hosted on G2.com.","I do like how sometimes it shows profiles and resumes of candidates not in the country, it could do a better job at screening locations by checking out companies candidates worked for.Review collected by and hosted on G2.com.",Well it is streamlining our recruitment because we are able to view resumes not just profiles before contacting to see years of experience with a certain search string aka Java.Review collected by and hosted on G2.com.,3.5
"Nov 01, 2021",> The UI of Monster is simple and sober,"> This is a very sophisticated website for finding jobs. I can search for a job title with location; this website also shows options like Part-time, Work from home when seeing the job.","> I can search against specific job positions and the salary/pay range offered against those positions. This gives me know how, as what should be the minimum pay for that position in my country.Review collected by and hosted on G2.com.",4
"Mar 15, 2022",Candidates are easily searchable with their skills and locationsReview collected by and hosted on G2.com.,Its like nothing just i dislike is the credits given for useReview collected by and hosted on G2.com.,searching of candidates from IT backgroundReview collected by and hosted on G2.com.,5
"Dec 25, 2021",It's easy to use. It allows you to advertise profiles for jobs. It is 100% a secure place to update your profile and search for candidates.Review collected by and hosted on G2.com.,Sometimes it won't show relevant searches and application gets stuck.Review collected by and hosted on G2.com.,Easy and friendly app to search and apply for jobs . It saves time and most importantly you can do this just by staying at the comfort of your home.Review collected by and hosted on G2.com.,4
"Aug 18, 2021","Most helpful has been the find candidates option. Through this option, I have been able to search for suitable candidates for my open positions. You have several options, including key words, location, and you can even search candidates based on their willingness to travel or citizenship status.Review collected by and hosted on G2.com.","job postings expire too quickly, and the amount of jobs provided could be moreReview collected by and hosted on G2.com.","Have been able to get suitable candidates for my open positions, which has helped me to close on positions and make placements in my company. Its very beneficial that you can download the resumes rather quickly.Review collected by and hosted on G2.com.",5
"Mar 22, 2022",Very easy for using and searching candidatesReview collected by and hosted on G2.com.,Non relevent candidates are also shown in a stringReview collected by and hosted on G2.com.,Searching of candidate and there relevancyReview collected by and hosted on G2.com.,5
"Jun 27, 2021",,,,4.5
"Dec 23, 2021","It is the best search engine and helps in exaggerating search, making it even simpler for finding candidates.Review collected by and hosted on G2.com.",Sometimes it shows irrelevant profiles and takes a lot of time to load the data.Review collected by and hosted on G2.com.,It makes my job even more accessible. It allows customizing job postings. It solves my daily task of finding candidates for the requirements and makes it hurdle-free.Review collected by and hosted on G2.com.,4
"Sep 07, 2021","Monster is utilized in most locations and plays a significant part in the job market. It is one of the most excellent tools in the United States, Asia Pacific, and India, assisting both to meet their requirements. You can look for individuals who updated their resumes within the last week to a year. It also has some unique features, such as matching talents to appropriate terms. I have access to other employment boards as well, but this one is the finest. I would want to use it in the future for my recruitment needs.Review collected by and hosted on G2.com.","One thing I don't like about it is that if I'm looking for a consultant for a client's need, I'll get the same resume many times with the same name and email address, but the location will be different. Duplicate resumes, fake emails and numbers are some of the other things I despise about Monster. It would help if you guys improved on determining the difference between a real and a fraudulent CV.Review collected by and hosted on G2.com.","Monster tackles the problem of finding the top applicants in one location; you don't need to visit every single job board if you have this one. For the most part, you'll have little trouble finding applicants. Almost everyone seeking work creates a Monster profile to make it simpler to locate qualified candidates. It assists me in locating the resumes of the best prospects on the market.Review collected by and hosted on G2.com.",4.5
"Jan 12, 2022","For me, It is an extensive database of candidates, and it offers a wide variety of filters. Helping recruiters look for candidates, as well as candidates to look for jobs.Review collected by and hosted on G2.com.",Sometimes filters are not specific enough or aren't that inclusive. It is a little difficult to keep track of resumes you already saw and get back to were you were at with your last search.Review collected by and hosted on G2.com.,"I have been able to recruit a wide variety of candidates from this software, and it is an excellent tool to find jobs because it allows people to sort it out according to their needs.Review collected by and hosted on G2.com.",4
"Dec 21, 2021",I like how you can search for jobs tailored specifically towards your skillset and criteria. I can get job leads sent to me daily through my inbox.Review collected by and hosted on G2.com.,The user interface is a bit lacking in terms of UI and would like to to have more look and feelReview collected by and hosted on G2.com.,Finding good quality job leadsReview collected by and hosted on G2.com.,4
"Dec 14, 2021",The best part about Monster is thay it shows the keywords match how relevant is the resume before opening itReview collected by and hosted on G2.com.,It does not show the filter of years of experience required for the roleReview collected by and hosted on G2.com.,The problems I am solvinh it is sourcing reevant profiles effecttiveluReview collected by and hosted on G2.com.,3.5
"Mar 10, 2022",The best thing about monster is their user interface. It's easy to be used and accessibleReview collected by and hosted on G2.com.,Less filters. Sometimes It becomes difficult to get the perfect candidate de to less filtersReview collected by and hosted on G2.com.,"Hiring, Recruitment, sourcing, Job Description checkingReview collected by and hosted on G2.com.",4
"Aug 31, 2021","Usually, my last resource if I can't find anything on other job boards and usually they will have individualsReview collected by and hosted on G2.com.","Seems like none of the candidates get back to you, they always have old resumes and not active candidates, I don't prefer the searching settings you can't even edit the boolean from that page when you are sourcing, just not my favorite job boardReview collected by and hosted on G2.com.",Finding candidates with sourcing and qualifying for jobsReview collected by and hosted on G2.com.,4
"Nov 23, 2021",A large database of good candidates across multiple skills & domains.Review collected by and hosted on G2.com.,"Not much to say regarding what I dislike. The reality is it is no longer the go-to tool for our recruiters as it used to be due to the emergence of LinkedIn, but still very valuable.Review collected by and hosted on G2.com.",It allows us to find immediately available candidates for our open jobs.Review collected by and hosted on G2.com.,4
"Sep 16, 2021",I was able to find a lot of job opportunities that suit me. It also helped in gaining market trends and insights.Review collected by and hosted on G2.com.,The number of notifications can sometimes be disturbing.Review collected by and hosted on G2.com.,Wider job opportunities to find your dream job!Review collected by and hosted on G2.com.,4
"Dec 09, 2021",Simple and easy to use when searching for viable candidates. I like the filter options they have.Review collected by and hosted on G2.com.,"Not necessarily to the fault of Monster, but candidate response rate is typically low in comparison to other sourcing platforms we use.Review collected by and hosted on G2.com.",It helps us find candidates for open roles with fewer applicants than we would anticipate.Review collected by and hosted on G2.com.,3.5
"Dec 08, 2021","The quality of resumes is good, and the database is extensive.Review collected by and hosted on G2.com.",The Boolean search string could be more user-friendly.Review collected by and hosted on G2.com.,"Monster was my go-to Job Board for all kinds of roles. The database is vast, and finding good-quality resumes was a simple task.Review collected by and hosted on G2.com.",4.5
"Dec 17, 2021","Monster is really helpful when sourcing , The speed of the monster and its really understable.Review collected by and hosted on G2.com.","Monster shares irrelevant profiles sometimes, and there is no option to put experienceReview collected by and hosted on G2.com.","Till now not yet,Review collected by and hosted on G2.com.",5
"Apr 21, 2021",i would like the system better if it worked.  It is very frustrating.  There is no available supportReview collected by and hosted on G2.com.,The system does not work.  It takes days to get support.  Multiple phone calls with no adequate responseReview collected by and hosted on G2.com.,system is not working properly.  I cant get help.  I will never use monster againReview collected by and hosted on G2.com.,0.5
"Jul 30, 2021",It's a world class portal that provide you access to find Job and candidate globally.Review collected by and hosted on G2.com.,"Their support system is worst I have ever seen, they don't give you proper reply when you needed. Another thing is phishing.scammer can cheat you through here. So you need to be careful.Review collected by and hosted on G2.com.",As a jobseeker I have found many offer though it and most of them were geniune. Still using it to find Job individually.Review collected by and hosted on G2.com.,3.5
"Jul 29, 2020","Monster is very good tool for job seeker to find a better opportunity and a recruiter to find a matched consultant as per required skills , Monster is being used in most of regions and play a big role in Job market, Monster is one of the best tool in USA, Asia Pacific, India etc. it is helping to both to fill their requirements. monster is very easy to use and Monster team implements to use of it to make it more user friendly for the users.Review collected by and hosted on G2.com.","Although Monster is a good tool, but as an user of monster i don't like one thing about it that if i am sourcing a consultant for any requirement of client, so will get one resume many times with same name and email ID but location is different. so they need to work on it that one resume can be uploaded only one time. and irrelevancy of resumes are very big issue here as per strings. monster is a good tool but some time i felt that if i am working on any niche skill requirement so it is not that much useful sometimes only.Review collected by and hosted on G2.com.","Monster is a very big part of work, i source candidates from monster and it is a very useful tool for me to get a good consultant as per my client's requirement. I posts the Jobs in Monster,  without monster tool my work progress will get down so it is very useful for meReview collected by and hosted on G2.com.",4.5
"Feb 24, 2021",power search option is useful. profile view in the same window is good.Review collected by and hosted on G2.com.,the filter option is less. plus it shows irrelevant profile for same stringReview collected by and hosted on G2.com.,finding the best profile for the job requirementReview collected by and hosted on G2.com.,3.5
"Jun 03, 2020","The Best thing about Monster is it's advance resume search. You don't need to write long strings, you just need to put the titles and skills which also has an option for ""required"" and ""nice to have"". you can search for the candidates within a certain location and within Certain Miles. you can filter out years of experience and also the resume freshness. You can search for candidates who have updated their resumes one day ago to 1 year ago. It also has some cool features which matches the skills with relevant words. For example, put ""Project Management"" in skills and it'll automatically show you results with the keywords similar to this like ""PMP"", ""PMI"", ""Program Manager"" etc.Review collected by and hosted on G2.com.","There are a couple of things I find preposterous about Monster. First is String length Limitations, in advanced resume search we can only add 5 job titles. Some Position has more than 5 titles for the same position. Other thing I hate about Monster is Duplicate resumes, Fake emails, numbers. you guys really need to work on verifying a genuine resume and a fake one. Some candidates have a couple of profiles on Monster, isn't it redundant to have more than 1 profiles in a Job Portal. There's a word limit so sometimes I'm not able to put all the keywords I want to find relevant candidates.Review collected by and hosted on G2.com.","I search for candidates for all types of Job Requirements (Usually Non-IT) using Monster. Almost everyone who's looking for a job, puts their profile on Monster so it becomes easier to find the right talent.Review collected by and hosted on G2.com.",4
"Jul 16, 2020","Monster has huge database of candidates, which is the best feature of it. I am able to find candidates for most of the requirements I have. I used daily in my recruiting needs. The various filters and its application is superb in real, it works very well. You will find candidates for every position you have no matter its a role of a Customer Service or an IT professional or even a Manager or Executive Level. I even have access to other job boards but I this one is best among all. I would definitely want to keep using it for my recruiting needs ever and ever. The other features that I find really amazing is the ease to store resumes, email them directly through Job board, forward it to any email address, posting jobs works great. I have posted several jobs through this job board and trust me its really easy to do so.Review collected by and hosted on G2.com.","The only thing I dislike is the new website update by them, it is little time consuming compare to the older one.Review collected by and hosted on G2.com.","Monster really helps in lot many ways, reaching out to candidates, helping me out to source for different needs we have for our clients and forming a database as per the set of requirements. It also solves of getting best candidates at one single place, you don't need to go through every single job portal if you have this one. You will find candidates easily for most of your needs.Review collected by and hosted on G2.com.",5
"Jun 05, 2020",the best part is we can get job from all over the world very easy to use and also can post for hiringReview collected by and hosted on G2.com.,no such dislike found in this portal i have used its mobile app it is very easy to useReview collected by and hosted on G2.com.,it solved me to get the job my first job i got from  this website and the benefits are we can maintain various resume version and also search near by jobsReview collected by and hosted on G2.com.,5
"Dec 06, 2019",I like the easy to use layout and the amazing database that Monster has. They have been in the market for so long because of the way they have maintained the database quality. I like that I can search for any candidate pertaining to any requirement and I get the correct candidate.Review collected by and hosted on G2.com.,I wish there was an easier way to filter out certain (non-experienced) candidates. There are some candidates who are not true and have fake experience. There should be a filter for that.,I am someone who recruits and use it very actively. I use Monster to fill the vacancies that I have to work on . The benefits I have realized is that the database is one of the best that have seen till now. I also get other options within the portal to post the jobs and contact more and more qualified candidates.Review collected by and hosted on G2.com.,5
"Oct 29, 2019",It is designed in very user friendly manner.,The best part of the monster is asterisk function that we use to exaggerate our search.,"Being a technical recruiter,It plays a vital role in my recruitment search,Monster is my first preference for any technical positions that I get. I have closed many niche technical or non technical requirement with the help of Monster.It helps me finding the resume of top candidates available in market.Review collected by and hosted on G2.com.",4.5
"Sep 17, 2019","It is the best application in the market for the job seekers. It provides the  best jobs for the job seekers. in this application the applicants  have to fill their details regarding the Educational qualifications , technical skills, location.Review collected by and hosted on G2.com.",by using this application i have not find any problems in this application.Review collected by and hosted on G2.com.,"Monster Application has helped many of the job seekers in getting the jobs. it is one of the best job portal available. In this application we can search the job based upon the preferred location, technical skills, salary,company etc. This application can be used in both computers and as well as cell phones.we can upload our resumes in the Monster job portal and recruiters search for the candidates required for their company. they view our profile and contact us and schedule the interview.the best part about this application its keep on updating and adds new features to its platform. it is very easy and simple to use because of its simple interface.the best part about the monster application is its boolean search. this portal has the regular day to day updates regarding the job openings.Review collected by and hosted on G2.com.",5
"Sep 08, 2019",Monster helps me navigate to find new resumes easily through their navigation tools. Each tab is easily accessible and allows me to upload my information and resume quickly and efficiently. I never feel overwhelmed by the website or where to go. The power search has allowed me to create incredibly specific boolean searches for candidates that narrow down resumes very quickly.Review collected by and hosted on G2.com.,"Monster has different types of searches within it, and sometimes it can become confusing whether or not to use the main page search or the classic / power search when looking for postings and also looking for resumes. I wish these search tools were easier to navigate through like the tabs are for the initial splash page.Review collected by and hosted on G2.com.","Monster has benefitted me greatly when finding great candidates in Boolean searches. It allows me to see what resumes are out there and they constantly are updated as recent as the same day. Monster can be a bit confusing when searching, but overall the navigation is self explanatory.Review collected by and hosted on G2.com.",5
"Mar 06, 2019","Monster Boolean search is Incredible, the resumes which we are not able to find on any other Job boards, with the help of Monster I am able to submit good and qualified candidates. Now the advance feature of Power resume search has came so that I am able to find US citizen and Green Card also. I love Monster because I can apply as many filters I can so that I can get quality profiles. There are tons of resumes for each and every skills, such as Java, QA, .Net, UI Developer and many other skills etc.Review collected by and hosted on G2.com.","Sometimes one candidate with same skill has applied through Monster number of times so that in 1 or 2 pages are reflecting with that particular candidate, so that is a little embarrassing.Review collected by and hosted on G2.com.","I amble to route & forward the resume to my Inbox so that I can review it later as well. My database is very strong with the help of Monster. I have done many Contractual and full time placements with the help of Monster. I was able to do Job postings through Monster.  We can search a Company profile with the help of Monster, for e.g ex employee of Accenture, TCS, Deloitte, etc.Review collected by and hosted on G2.com.",4
"Sep 16, 2019",better and updated results when compared to other job boards. easy Boolean searches. multiple filters to apply to get the best results.Review collected by and hosted on G2.com.,there is not anything in particular that i dislike about Monster but if they can provide the work authorization on the candidate display list. that would be greatReview collected by and hosted on G2.com.,i am solving recruitment related problems like hiring. benefits that i have realized with monster is that we can get fresh resources faster than  any other job boards.Review collected by and hosted on G2.com.,5
"May 02, 2019","one of the most efficient tool to search good candidates for recruitment and staffing ,monster provides a lot a good candidates in a more appropriate way .it helps to connect to the good consultant by providing a proper job search and venquishes the need of other portalsReview collected by and hosted on G2.com.",In monster there comes some multiple profiles which makes it difficult to seach new genuine candidates .Review collected by and hosted on G2.com.,with monster i have serached new candidates for recruitment and staffing.it help to search fine consultant that are appropriate for the need.Review collected by and hosted on G2.com.,5
"Dec 27, 2018","Monster is amazing, you can search resumes by different criteria (position, Cities). Tons of resumes you can review. I love that we are able to leave notes on each resume you review so your co workers or yourself can return and see what you had to say. You are also able to email the resumes to yourself so that’s pretty cool! Last but not least you can search recent resumes uploaded without coming across one that was submitted months ago.Review collected by and hosted on G2.com.","It can get a little tricky when searching resumes by position as they have tons of them on their drop down menu so you have to be very specific. Other than that, Monster is a great source that we use here at our office.Review collected by and hosted on G2.com.",We have found great candidates on Monster that had not applied with our company.Review collected by and hosted on G2.com.,5
"Nov 12, 2018","Great tool for sourcing candidates for jobs altogether industries. It’s additionally nice for reviewing resumes, finding contact info for clients, and posting jobs. I like that Monster provides you the direct contact info for candidates from their monster profile, and not simply from their resume. I additionally like that it provides the user the power to trace that resumes have already been viewed.Review collected by and hosted on G2.com.",I don't notice that there are tons of latest grad technology resumes on the positioning similar to alternative sites. I work in a special industry currently and realize that there are less relevant job seekers for the roles that I’m looking for comparing to mainstream technology resumes are mainly in for contract rolesReview collected by and hosted on G2.com.,"I feel that the search feature on Monster is incredibly well organized. I even have noticed that the advanced search options extremely facilitate me to slender down candidates thus I can really reach my target candidates supported much any measures -- education expertise, years of experience, and even current locationReview collected by and hosted on G2.com.",4
"Mar 05, 2019",Monster is one of the best job board i have ever used.I like the best two ways to search a resume one is classic search and other is power search. i always use the power search because inserting job title and location we cab easily get good and local profile as per need.Monster really helps us to find the specific candidates what exactly skills we are looking for by using Boolean search.Review collected by and hosted on G2.com.,"Monster should add every Visa option which are looking for. Only this is the point or drawback i can say about monster, rest all is good.Review collected by and hosted on G2.com.",Monster really solves business problems because it helps us to find very niche skills candidates  which is sometimes not available on other job boards.Review collected by and hosted on G2.com.,4
"Jul 31, 2019","I love this job board for Healthcare related jobs. Majority of the candidates that I'm able to source are fit candidates. You can customize your search if you need bilingual candidates, customize the years of experience, previous companies etc. The results are relevant or A candidates. You can also get lot of updated resumes.Review collected by and hosted on G2.com.",I like everything about this job board. Specially the job posting.Review collected by and hosted on G2.com.,It makes sourcing of candidates easier than ever. You can post jobs as wellReview collected by and hosted on G2.com.,4.5
"May 01, 2019",Power and Classic Search are good to work on different situationsReview collected by and hosted on G2.com.,no visa types exclusions to filter and search for particular typeReview collected by and hosted on G2.com.,recruitment process with high diversification in fields of workReview collected by and hosted on G2.com.,4.5
"Feb 28, 2019",Monster is the best Job board when it comes to the recruiting it provides a diverse pool of candidates in which we can search a variety of sameReview collected by and hosted on G2.com.,Same Resume is shown multiple times so it creates a nuisance hence the filtering algorithm should be improvedReview collected by and hosted on G2.com.,Monster is a best Job Board for entry level recruiters so it helps the users to understand Boolean search betterReview collected by and hosted on G2.com.,4.5
"May 16, 2019",every new resume in market we can find first on monster and very helpful to find out resources for each and every technology.Review collected by and hosted on G2.com.,sometimes we get dual resume for so it is time consuming sometime to find out genuine resources.Review collected by and hosted on G2.com.,it is very excellent portal that give organization business to provide then genuine candidate that can clear the interview and can close every position.Review collected by and hosted on G2.com.,5
"Apr 03, 2019","I use Monster as a last resort during my sourcing.  I prefer using LinkedIn and CareerBuilder for all of my US sourcing, the candidate pool in Monster is weaker and the search is unwieldy.  You can't even open resumes in new tabs, forcing you to stay on one page. The biggest bonus is that it has a job post board for the UK (although that costs more)Review collected by and hosted on G2.com.",That I can post roles to the UK (which several services do not have)Review collected by and hosted on G2.com.,"It has a pool of candidates, and sometimes people will click on the job posts.  There have not been any noticeable benefits over any other services.Review collected by and hosted on G2.com.",1
"Mar 06, 2019",One of the best feature it has added is of power resume in which we can directly search candidates by putting normal strings and classic resume search is also useful as we can search candidates by using Boolean strings.Review collected by and hosted on G2.com.,"The user interface is not good as compared to another job boards, it should be more attractive.Review collected by and hosted on G2.com.",Being a technical recruiter it helps to get the right candidate for the right job.Review collected by and hosted on G2.com.,3.5
